Respondent,CareerSatisfaction
1,Extremely satisfied
3,Neither satisfied nor dissatisfied
4,Moderately satisfied
5,Slightly dissatisfied
7,Moderately satisfied
8,Slightly satisfied
9,Moderately satisfied
10,Moderately satisfied
11,Moderately satisfied
17,Moderately dissatisfied
20,Moderately satisfied
21,Moderately dissatisfied
22,Extremely dissatisfied
27,Moderately satisfied
29,Extremely satisfied
33,Slightly dissatisfied
34,Moderately satisfied
37,Neither satisfied nor dissatisfied
38,Slightly dissatisfied
39,Moderately satisfied
41,Slightly dissatisfied
43,Slightly satisfied
44,Moderately satisfied
45,Extremely satisfied
46,Neither satisfied nor dissatisfied
47,Slightly satisfied
50,Moderately satisfied
51,Moderately satisfied
52,Moderately satisfied
54,Moderately satisfied
55,Moderately satisfied
56,Slightly dissatisfied
57,Extremely dissatisfied
59,Slightly dissatisfied
61,Slightly dissatisfied
63,Neither satisfied nor dissatisfied
66,Extremely satisfied
67,Neither satisfied nor dissatisfied
71,Moderately satisfied
72,Slightly satisfied
75,Extremely satisfied
76,Slightly satisfied
77,Moderately satisfied
79,Slightly satisfied
80,Moderately satisfied
81,Extremely satisfied
82,Extremely satisfied
83,Slightly dissatisfied
84,Moderately satisfied
85,Moderately dissatisfied
87,Slightly dissatisfied
89,Neither satisfied nor dissatisfied
90,Slightly satisfied
91,Neither satisfied nor dissatisfied
92,Slightly satisfied
96,Slightly dissatisfied
98,Slightly satisfied
103,Extremely dissatisfied
105,Neither satisfied nor dissatisfied
106,Moderately dissatisfied
107,Neither satisfied nor dissatisfied
111,Extremely satisfied
113,Moderately satisfied
117,Extremely satisfied
119,Extremely satisfied
120,Slightly satisfied
122,Moderately satisfied
123,Moderately satisfied
124,Moderately satisfied
125,Moderately dissatisfied
126,Extremely satisfied
127,Neither satisfied nor dissatisfied
129,Moderately dissatisfied
131,Moderately satisfied
132,Moderately satisfied
134,Slightly satisfied
135,Slightly satisfied
137,Slightly satisfied
138,Neither satisfied nor dissatisfied
140,Slightly satisfied
142,Moderately satisfied
143,Moderately satisfied
146,Slightly satisfied
148,Extremely satisfied
150,Moderately satisfied
151,Moderately satisfied
153,Slightly dissatisfied
155,Neither satisfied nor dissatisfied
160,Moderately satisfied
161,Moderately satisfied
162,Slightly satisfied
163,Extremely satisfied
164,Moderately satisfied
167,Extremely satisfied
168,Slightly satisfied
169,Extremely dissatisfied
170,Slightly satisfied
177,Extremely satisfied
179,Extremely satisfied
181,Extremely satisfied
182,Moderately satisfied
184,Moderately satisfied
186,Moderately satisfied
187,Neither satisfied nor dissatisfied
188,Slightly satisfied
189,Slightly dissatisfied
192,Slightly satisfied
195,Moderately dissatisfied
196,Moderately satisfied
198,Slightly satisfied
201,Slightly satisfied
206,Moderately satisfied
213,Moderately satisfied
214,Moderately satisfied
216,Moderately satisfied
217,Moderately satisfied
218,Moderately satisfied
219,Neither satisfied nor dissatisfied
222,Slightly satisfied
226,Extremely satisfied
228,Moderately satisfied
231,Extremely satisfied
233,Moderately satisfied
236,Moderately satisfied
237,Moderately satisfied
240,Extremely dissatisfied
242,Slightly dissatisfied
243,Moderately dissatisfied
244,Slightly dissatisfied
245,Moderately satisfied
246,Moderately satisfied
247,Slightly satisfied
248,Moderately satisfied
249,Slightly satisfied
251,Moderately satisfied
254,Moderately satisfied
255,Moderately dissatisfied
256,Moderately satisfied
257,Neither satisfied nor dissatisfied
260,Extremely satisfied
261,Slightly satisfied
264,Slightly dissatisfied
