Respondent,DatabaseWorkedWith
1,Redis
1,SQL Server
1,MySQL
1,PostgreSQL
1,Amazon RDS/Aurora
1,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
3,Redis
3,PostgreSQL
3,Memcached
5,SQL Server
5,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
7,SQL Server
7,PostgreSQL
7,Oracle
7,IBM Db2
8,MongoDB
9,MongoDB
10,MongoDB
10,MySQL
10,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
10,Google Cloud Storage
11,Redis
11,PostgreSQL
11,Amazon DynamoDB
11,Apache HBase
11,Apache Hive
11,Amazon Redshift
11,Amazon RDS/Aurora
11,Elasticsearch
20,MongoDB
20,MySQL
20,Oracle
20,MariaDB
20,Elasticsearch
21,SQL Server
21,MySQL
27,SQL Server
33,Redis
33,PostgreSQL
33,SQLite
34,SQL Server
34,MySQL
34,SQLite
37,MySQL
38,MongoDB
38,MySQL
38,MariaDB
38,Amazon RDS/Aurora
39,SQL Server
39,MySQL
43,Memcached
43,Google BigQuery
44,SQL Server
44,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
46,MySQL
46,Google Cloud Storage
47,MongoDB
47,Redis
47,MySQL
47,PostgreSQL
50,MySQL
50,PostgreSQL
51,SQL Server
51,MySQL
52,PostgreSQL
53,MongoDB
53,Redis
53,SQL Server
53,MySQL
53,PostgreSQL
53,MariaDB
53,Amazon DynamoDB
53,Amazon RDS/Aurora
53,Google BigQuery
53,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
53,Elasticsearch
54,PostgreSQL
55,MongoDB
55,Redis
55,PostgreSQL
56,SQL Server
56,PostgreSQL
59,MongoDB
59,SQL Server
59,PostgreSQL
60,SQLite
61,MySQL
61,SQLite
63,Oracle
67,SQL Server
67,MySQL
71,MySQL
71,MariaDB
72,Cassandra
72,MongoDB
72,Amazon DynamoDB
75,MySQL
76,MongoDB
76,SQL Server
76,MySQL
76,PostgreSQL
76,SQLite
76,Oracle
76,MariaDB
77,PostgreSQL
77,Elasticsearch
81,MySQL
81,MariaDB
83,SQL Server
83,MySQL
83,MariaDB
85,MongoDB
85,MySQL
85,PostgreSQL
85,SQLite
85,MariaDB
85,Elasticsearch
87,PostgreSQL
89,MongoDB
89,SQL Server
89,MySQL
89,SQLite
89,MariaDB
90,MySQL
91,MySQL
91,PostgreSQL
